X,Y,Z,Azimuth,Bearing,Direction,Latitude,Longitude,Altitude,Date,Time
579,311,2452,28,1,NNE,25.714184,-80.283920,20.00,04/15/2024,01:09:35
584,311,2462,28,1,NNE,25.714182,-80.283920,20.00,04/15/2024,01:09:36
600,319,2440,27,1,NNE,25.714182,-80.283920,20.00,04/15/2024,01:09:36
584,321,2448,28,1,NNE,25.714182,-80.283920,20.00,04/15/2024,01:09:36
583,329,2445,29,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:36
597,350,2459,30,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:36
591,355,2430,30,1,NNE,25.714184,-80.283920,20.10,04/15/2024,01:09:36
589,356,2437,31,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:36
591,350,2440,30,1,NNE,25.714182,-80.283920,20.00,04/15/2024,01:09:36
591,369,2418,31,1,NNE,25.714182,-80.283920,20.00,04/15/2024,01:09:36
595,350,2425,30,1,NNE,25.714182,-80.283920,20.00,04/15/2024,01:09:36
591,333,2422,29,1,NNE,25.714182,-80.283920,20.00,04/15/2024,01:09:37
605,326,2418,28,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:37
583,342,2467,30,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:37
589,352,2440,30,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:37
568,363,2462,32,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:37
554,355,2452,32,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:37
563,359,2459,32,1,NNE,25.714184,-80.283920,20.20,04/15/2024,01:09:37
561,365,2462,33,1,NNE,25.714184,-80.283920,20.10,04/15/2024,01:09:37
552,372,2474,33,1,NNE,25.714184,-80.283920,20.10,04/15/2024,01:09:37
559,361,2485,32,1,NNE,25.714184,-80.283920,20.10,04/15/2024,01:09:37
557,377,2482,34,1,NNE,25.714184,-80.283920,20.10,04/15/2024,01:09:38
557,372,2459,33,1,NNE,25.714184,-80.283920,20.20,04/15/2024,01:09:38
557,386,2459,34,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:38
559,386,2467,34,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:38
548,384,2467,35,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:38
532,359,2485,34,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:38
563,372,2489,33,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:38
571,356,2452,31,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:38
568,346,2462,31,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:38
577,348,2462,31,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:38
545,372,2455,34,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:39
538,356,2474,33,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:39
557,346,2500,31,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:39
542,369,2485,34,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:39
542,376,2459,34,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:39
536,380,2482,35,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:39
518,394,2467,37,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:39
550,416,2440,37,1,NNE,25.714182,-80.283920,20.10,04/15/2024,01:09:39
540,431,2470,38,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:39
527,436,2470,39,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:40
540,424,2455,38,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:40
534,405,2467,37,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:40
545,394,2459,35,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:40
534,365,2485,34,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:40
552,365,2474,33,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:40
550,339,2477,31,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:40
554,324,2485,30,1,NNE,25.714182,-80.283920,20.30,04/15/2024,01:09:40
529,304,2512,29,1,NNE,25.714182,-80.283920,20.30,04/15/2024,01:09:40
522,274,2522,27,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:40
503,223,2574,23,1,NNE,25.714182,-80.283920,20.20,04/15/2024,01:09:41
509,207,2571,22,0,N,25.714182,-80.283920,20.30,04/15/2024,01:09:41
518,171,2564,18,0,N,25.714182,-80.283920,20.30,04/15/2024,01:09:41
527,164,2559,17,0,N,25.714182,-80.283920,20.20,04/15/2024,01:09:41
527,163,2559,17,0,N,25.714182,-80.283920,20.20,04/15/2024,01:09:41
529,175,2544,18,0,N,25.714182,-80.283920,20.20,04/15/2024,01:09:41
554,172,2515,17,0,N,25.714182,-80.283920,20.20,04/15/2024,01:09:41
563,166,2530,16,0,N,25.714182,-80.283920,20.20,04/15/2024,01:09:41
550,164,2527,16,0,N,25.714182,-80.283920,20.20,04/15/2024,01:09:41
546,168,2507,17,0,N,25.714184,-80.283920,20.20,04/15/2024,01:09:42
546,181,2537,18,0,N,25.714184,-80.283920,20.30,04/15/2024,01:09:42
577,198,2519,18,0,N,25.714184,-80.283920,20.30,04/15/2024,01:09:42
566,192,2507,18,0,N,25.714184,-80.283920,20.20,04/15/2024,01:09:42
564,184,2500,18,0,N,25.714184,-80.283920,20.20,04/15/2024,01:09:42
583,172,2500,16,0,N,25.714184,-80.283920,20.20,04/15/2024,01:09:42
581,177,2470,16,0,N,25.714184,-80.283920,20.20,04/15/2024,01:09:42
584,179,2500,17,0,N,25.714184,-80.283920,20.20,04/15/2024,01:09:42
554,188,2512,18,0,N,25.714184,-80.283920,20.20,04/15/2024,01:09:42
