X,Y,Z,Azimuth,Bearing,Direction,Latitude,Longitude,Altitude,Date,Time
673,78,2489,6,0,N,25.713854,-80.283981,9.00,04/15/2024,00:49:15
687,76,2485,6,0,N,25.713854,-80.283981,9.00,04/15/2024,00:49:15
675,72,2477,6,0,N,25.713854,-80.283981,9.00,04/15/2024,00:49:16
682,73,2497,6,0,N,25.713854,-80.283981,9.00,04/15/2024,00:49:16
688,72,2507,5,0,N,25.713854,-80.283981,9.00,04/15/2024,00:49:16
687,65,2489,5,0,N,25.713854,-80.283981,9.00,04/15/2024,00:49:16
675,72,2492,6,0,N,25.713854,-80.283981,9.00,04/15/2024,00:49:16
688,78,2489,6,0,N,25.713854,-80.283981,9.00,04/15/2024,00:49:16
680,65,2485,5,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:16
682,63,2504,5,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:16
684,63,2504,5,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:16
687,65,2474,5,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:16
691,82,2492,6,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:16
691,67,2492,5,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:17
688,61,2485,5,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:17
684,63,2470,5,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:17
687,69,2515,5,0,N,25.713852,-80.283981,9.00,04/15/2024,00:49:17
682,56,2485,4,0,N,25.713852,-80.283989,9.00,04/15/2024,00:49:17
688,59,2477,4,0,N,25.713852,-80.283989,8.90,04/15/2024,00:49:17
673,56,2482,4,0,N,25.713852,-80.283989,8.90,04/15/2024,00:49:17
682,55,2489,4,0,N,25.713852,-80.283989,8.90,04/15/2024,00:49:17
678,61,2500,5,0,N,25.713852,-80.283989,8.70,04/15/2024,00:49:17
680,73,2485,6,0,N,25.713852,-80.283989,8.70,04/15/2024,00:49:18
675,59,2489,4,0,N,25.713852,-80.283989,8.50,04/15/2024,00:49:18
678,65,2489,5,0,N,25.713852,-80.283989,8.50,04/15/2024,00:49:18
680,49,2497,4,0,N,25.713852,-80.283989,8.50,04/15/2024,00:49:18
675,49,2477,4,0,N,25.713852,-80.283989,8.50,04/15/2024,00:49:18
684,61,2500,5,0,N,25.713852,-80.283989,8.50,04/15/2024,00:49:18
673,49,2507,4,0,N,25.713852,-80.283989,8.40,04/15/2024,00:49:18
684,53,2489,4,0,N,25.713852,-80.283989,8.40,04/15/2024,00:49:18
680,61,2504,5,0,N,25.713852,-80.283989,8.30,04/15/2024,00:49:18
682,67,2504,5,0,N,25.713852,-80.283989,8.30,04/15/2024,00:49:18
684,56,2485,4,0,N,25.713852,-80.283981,8.30,04/15/2024,00:49:18
670,55,2504,4,0,N,25.713852,-80.283981,8.00,04/15/2024,00:49:18
684,53,2492,4,0,N,25.713852,-80.283981,8.00,04/15/2024,00:49:19
688,56,2489,4,0,N,25.713852,-80.283981,7.90,04/15/2024,00:49:19
682,56,2492,4,0,N,25.713852,-80.283981,7.90,04/15/2024,00:49:19
